Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions","User acquisition (All users, All events, Per interval, Daily): Egypt","User acquisition (All users, All events, Per interval, Daily): Côte d’Ivoire","User acquisition (All users, All events, Per interval, Daily): Senegal","User acquisition (All users, All events, Per interval, Daily): United Kingdom","User acquisition (All users, All events, Per interval, Daily): United States",Notes
6 Aug 2025,365,58,58,38,0,0,
7 Aug 2025,385,72,54,29,0,0,
8 Aug 2025,387,57,67,18,0,2,
9 Aug 2025,365,62,51,37,1,1,
10 Aug 2025,343,59,43,23,0,1,
11 Aug 2025,406,69,42,42,0,0,
12 Aug 2025,345,56,48,30,2,2,
13 Aug 2025,391,61,72,34,1,3,
14 Aug 2025,393,60,65,27,0,2,
15 Aug 2025,350,51,68,28,2,0,
16 Aug 2025,302,41,51,20,4,1,
17 Aug 2025,337,50,53,38,0,0,
18 Aug 2025,378,61,56,45,1,0,
19 Aug 2025,419,85,74,41,1,2,
20 Aug 2025,393,73,48,33,2,2,
21 Aug 2025,409,65,63,35,2,0,
22 Aug 2025,379,68,55,42,0,3,
23 Aug 2025,377,49,64,31,1,2,
24 Aug 2025,395,83,53,31,2,0,
25 Aug 2025,381,66,57,34,0,1,
26 Aug 2025,413,69,54,30,2,0,
27 Aug 2025,377,58,55,16,1,0,
28 Aug 2025,363,57,56,11,0,2,
29 Aug 2025,287,41,45,11,0,1,
30 Aug 2025,322,53,32,26,0,0,
31 Aug 2025,358,57,55,26,0,2,
1 Sept 2025,451,90,52,35,3,2,
2 Sept 2025,415,57,72,32,1,4,
3 Sept 2025,385,69,41,18,1,1,
4 Sept 2025,371,69,34,26,3,0,
5 Sept 2025,345,71,40,21,0,0,
6 Sept 2025,395,66,55,27,2,0,
7 Sept 2025,373,67,38,25,1,0,
8 Sept 2025,348,63,47,21,1,1,
9 Sept 2025,367,60,48,29,0,0,
10 Sept 2025,376,53,45,28,2,1,
11 Sept 2025,410,70,52,34,1,1,
12 Sept 2025,396,85,49,14,1,1,
13 Sept 2025,421,101,39,22,0,1,
14 Sept 2025,379,85,40,22,0,6,
15 Sept 2025,361,67,32,31,1,3,
16 Sept 2025,357,68,34,32,1,1,
17 Sept 2025,367,68,34,41,0,1,
18 Sept 2025,398,84,30,34,0,2,
19 Sept 2025,430,81,53,29,0,1,
20 Sept 2025,379,67,41,12,0,2,
21 Sept 2025,322,66,18,30,1,1,
22 Sept 2025,348,73,35,29,0,1,
23 Sept 2025,357,62,43,16,0,1,
24 Sept 2025,344,75,25,23,0,2,
25 Sept 2025,346,83,28,19,1,1,
26 Sept 2025,395,88,36,32,0,2,
27 Sept 2025,333,66,37,17,1,2,
28 Sept 2025,349,62,40,20,1,3,
29 Sept 2025,387,79,39,15,2,1,
30 Sept 2025,374,75,26,28,0,1,
1 Oct 2025,408,83,37,28,0,3,
