Date,"Installed audience (All users, Unique users, Per interval, Daily): All countries / regions","Installed audience (All users, Unique users, Per interval, Daily): Egypt","Installed audience (All users, Unique users, Per interval, Daily): Côte d’Ivoire","Installed audience (All users, Unique users, Per interval, Daily): Senegal","Installed audience (All users, Unique users, Per interval, Daily): United Kingdom","Installed audience (All users, Unique users, Per interval, Daily): United States",Notes
5 Aug 2025,"16,922","3,358","2,613",779,37,74,
6 Aug 2025,"16,915","3,375","2,610",783,34,69,
7 Aug 2025,"16,870","3,345","2,612",785,35,74,
8 Aug 2025,"16,840","3,324","2,620",768,38,61,
9 Aug 2025,"16,843","3,314","2,624",769,45,61,
10 Aug 2025,"16,763","3,299","2,630",765,39,69,
11 Aug 2025,"16,787","3,300","2,613",786,33,74,
12 Aug 2025,"16,727","3,284","2,599",782,37,75,
13 Aug 2025,"16,792","3,294","2,651",788,32,75,
14 Aug 2025,"16,735","3,287","2,628",776,34,69,
15 Aug 2025,"16,647","3,241","2,629",772,36,73,
16 Aug 2025,"16,614","3,250","2,631",763,42,74,
17 Aug 2025,"16,540","3,208","2,628",768,33,69,
18 Aug 2025,"16,543","3,236","2,623",780,38,71,
19 Aug 2025,"16,517","3,198","2,644",786,44,65,
20 Aug 2025,"16,451","3,188","2,613",799,42,63,
21 Aug 2025,"16,412","3,173","2,614",789,43,70,
22 Aug 2025,"16,409","3,152","2,601",790,43,70,
23 Aug 2025,"16,341","3,124","2,604",796,45,78,
24 Aug 2025,"16,400","3,179","2,600",785,44,74,
25 Aug 2025,"16,351","3,159","2,617",793,40,70,
26 Aug 2025,"16,352","3,146","2,621",794,37,68,
27 Aug 2025,"16,327","3,128","2,616",784,37,62,
28 Aug 2025,"16,280","3,110","2,593",769,35,66,
29 Aug 2025,"16,156","3,056","2,567",764,35,63,
30 Aug 2025,"16,127","3,047","2,563",766,32,57,
31 Aug 2025,"16,019","2,998","2,562",758,31,55,
1 Sept 2025,"16,021","2,994","2,561",756,31,59,
2 Sept 2025,"16,082","2,985","2,586",764,33,64,
3 Sept 2025,"16,043","2,981","2,574",749,36,60,
4 Sept 2025,"16,014","2,970","2,570",738,36,62,
5 Sept 2025,"15,955","2,970","2,558",732,33,62,
6 Sept 2025,"15,877","2,957","2,542",730,32,56,
7 Sept 2025,"15,887","2,968","2,536",728,36,56,
8 Sept 2025,"15,860","2,944","2,532",728,38,68,
9 Sept 2025,"15,824","2,936","2,516",725,35,67,
10 Sept 2025,"15,828","2,945","2,520",728,32,64,
11 Sept 2025,"15,814","2,906","2,518",739,34,71,
12 Sept 2025,"15,826","2,922","2,509",736,33,74,
13 Sept 2025,"15,794","2,919","2,518",729,35,66,
14 Sept 2025,"15,720","2,895","2,490",710,34,68,
15 Sept 2025,"15,783","2,917","2,497",712,37,65,
16 Sept 2025,"15,752","2,894","2,499",714,35,60,
17 Sept 2025,"15,741","2,890","2,493",729,32,67,
18 Sept 2025,"15,713","2,912","2,448",736,37,64,
19 Sept 2025,"15,682","2,896","2,452",729,33,63,
20 Sept 2025,"15,659","2,901","2,439",714,31,61,
21 Sept 2025,"15,644","2,908","2,435",733,25,61,
22 Sept 2025,"15,634","2,912","2,429",730,28,77,
23 Sept 2025,"15,586","2,923","2,408",718,33,86,
24 Sept 2025,"15,577","2,931","2,414",723,34,88,
25 Sept 2025,"15,503","2,926","2,388",717,34,78,
26 Sept 2025,"15,526","2,927","2,417",718,36,76,
27 Sept 2025,"15,531","2,913","2,412",718,30,76,
28 Sept 2025,"15,552","2,928","2,412",718,36,74,
29 Sept 2025,"15,516","2,931","2,378",712,39,83,
30 Sept 2025,"15,472","2,934","2,379",704,25,77,
1 Oct 2025,"15,530","2,947","2,370",711,28,64,
